Time,open,high,low,close,volume
2020-12-09,0.88875,0.89145,0.88711,0.8895,108157.95
2020-12-10,0.88948,0.89017,0.88522,0.88599,137726.64004
2020-12-11,0.88597,0.89092,0.88514,0.89023,110835.76001
2020-12-13,0.88883,0.88904,0.88806,0.88857,3831.79001
2020-12-14,0.88857,0.88957,0.88504,0.88675,110013.83002
2020-12-15,0.88675,0.88806,0.88504,0.88558,118575.98
2020-12-16,0.88559,0.88923,0.88262,0.88543,143124.00001
2020-12-17,0.88544,0.88581,0.88225,0.88481,117398.43
2020-12-18,0.88481,0.88682,0.88254,0.88289,118810.06002
2020-12-20,0.88507,0.88586,0.88433,0.88581,4010.08
2020-12-21,0.88581,0.89193,0.88421,0.88561,195990.21004
2020-12-22,0.88562,0.8905,0.88455,0.88782,137062.79002
2020-12-23,0.88782,0.89114,0.88677,0.88782,146770.13998
2020-12-24,0.88782,0.89183,0.88688,0.89104,95151.21008
2020-12-25,0.89119,0.89148,0.88914,0.89003,3602.94
2020-12-27,0.88949,0.89092,0.88915,0.88959,3945.35999
2020-12-28,0.88955,0.8919,0.88763,0.88837,114439.85993
2020-12-29,0.88838,0.88844,0.88306,0.88417,116652.81997
2020-12-30,0.88416,0.88547,0.88116,0.88168,131057.49
2020-12-31,0.88166,0.88586,0.87941,0.8851,120737.76001
2021-01-03,0.88344,0.8843,0.88298,0.88318,5659.74
2021-01-04,0.88316,0.88458,0.87848,0.88128,139608.04001
2021-01-05,0.88128,0.88166,0.8776,0.87823,126575.45
2021-01-06,0.87821,0.88215,0.87576,0.87813,183325.36002
2021-01-07,0.87813,0.88608,0.87747,0.88522,162257.96001
2021-01-08,0.88522,0.88847,0.88226,0.88539,189990.51001
2021-01-10,0.88586,0.88789,0.88507,0.8876,6794.37999
2021-01-11,0.88761,0.89204,0.88688,0.88969,151538.60002
2021-01-12,0.88969,0.89163,0.88609,0.88614,134078.12002
2021-01-13,0.88614,0.88894,0.88495,0.88716,127196.17004
2021-01-14,0.88712,0.89175,0.88559,0.8884,150868.45002
2021-01-15,0.88841,0.89149,0.88694,0.89092,123524.15001
2021-01-17,0.89059,0.89262,0.89045,0.89254,4827.91
2021-01-18,0.89253,0.89254,0.88983,0.89094,104315.63003
2021-01-19,0.89094,0.89169,0.88642,0.88809,110540.78
2021-01-20,0.88808,0.89204,0.88671,0.88939,120643.35004
2021-01-21,0.88939,0.88996,0.88478,0.88541,119048.03004
2021-01-22,0.8854,0.88665,0.88385,0.88549,106230.38
2021-01-24,0.88552,0.886,0.88508,0.88563,4540.56
2021-01-25,0.88559,0.8893,0.88479,0.88809,115825.46001
2021-01-26,0.8881,0.8896,0.88609,0.88665,105729.32
2021-01-27,0.88664,0.89176,0.88616,0.88928,157890.43003
2021-01-28,0.88928,0.89187,0.88697,0.8886,157103.71001
2021-01-29,0.88861,0.89119,0.88745,0.89077,160988.42998
2021-01-31,0.89055,0.89196,0.89007,0.89152,7475.009959999999
2021-02-01,0.89152,0.89728,0.89061,0.89656,139626.72996
2021-02-02,0.89657,0.89955,0.89471,0.89798,141280.76
2021-02-03,0.89799,0.90028,0.89705,0.89846,112399.64
2021-02-04,0.89846,0.90451,0.89842,0.90406,120293.31001
2021-02-05,0.90407,0.9046,0.89874,0.89895,127395.35999
2021-02-07,0.8995,0.89983,0.8987,0.89909,6612.19
2021-02-08,0.89908,0.90197,0.89823,0.89869,112888.20996
2021-02-09,0.89869,0.89882,0.89197,0.8926,127476.03997
2021-02-10,0.89259,0.89315,0.88905,0.89029,123883.88004
2021-02-11,0.89028,0.89105,0.88922,0.89013,87303.02003
2021-02-12,0.89013,0.89399,0.88997,0.8918,89003.57002
2021-02-14,0.89174,0.89219,0.89128,0.89196,4396.61002
2021-02-15,0.89196,0.8925,0.88977,0.88995,81170.39015
2021-02-16,0.88996,0.89403,0.88715,0.89362,121147.70009
2021-02-17,0.8936,0.89922,0.89272,0.89859,147604.56014
2021-02-18,0.89859,0.89957,0.8957,0.89606,125726.17008
2021-02-19,0.89607,0.89726,0.89338,0.89641,108595.62001
2021-02-21,0.8967,0.89747,0.89572,0.89688,12830.97008
2021-02-22,0.89688,0.90238,0.89484,0.89584,133201.94006
2021-02-23,0.89583,0.90573,0.89489,0.90538,137681.25005
2021-02-24,0.90538,0.90948,0.90485,0.90677,185647.37022
2021-02-25,0.90677,0.90817,0.90282,0.90575,228923.75017
2021-02-26,0.90575,0.9102,0.90268,0.90858,229254.71007
2021-02-28,0.90909,0.90909,0.90736,0.90736,5712.07999
2021-03-01,0.90736,0.91595,0.90709,0.91502,184753.6601
2021-03-02,0.91502,0.91939,0.91363,0.91515,164015.80001
2021-03-03,0.91514,0.92011,0.91405,0.92007,165695.26991
2021-03-04,0.92009,0.9298,0.91894,0.92932,221892.02009
2021-03-05,0.92932,0.93191,0.92577,0.93057,212485.91986
2021-03-07,0.92969,0.93122,0.92909,0.93015,8677.94998
2021-03-08,0.93016,0.93698,0.92981,0.93619,167778.30004
2021-03-09,0.93619,0.93756,0.92755,0.92822,179820.11998
2021-03-10,0.92822,0.93233,0.92806,0.92993,162276.20003
2021-03-11,0.92993,0.93092,0.92345,0.92487,149374.32998
2021-03-12,0.92487,0.9325,0.92466,0.92996,145183.01
2021-03-14,0.92892,0.92972,0.92874,0.92946,23813.69001
2021-03-15,0.92947,0.93126,0.92669,0.92772,169711.88011
2021-03-16,0.92772,0.92873,0.92426,0.925,155092.03006
2021-03-17,0.92501,0.92961,0.92138,0.92226,199476.08997
2021-03-18,0.92225,0.93056,0.92192,0.92739,231534.42985
2021-03-19,0.92739,0.932,0.92515,0.92915,187880.69994
2021-03-21,0.93069,0.93113,0.92929,0.93006,7359.51
2021-03-22,0.93005,0.93095,0.92227,0.92344,153079.75
2021-03-23,0.92344,0.93474,0.92331,0.93449,153026.42994
2021-03-24,0.93447,0.93698,0.93375,0.93602,141857.71995
2021-03-25,0.93602,0.94022,0.93495,0.93961,145863.82001
2021-03-26,0.93959,0.9418,0.93826,0.93905,104469.53
2021-03-28,0.93903,0.93974,0.93879,0.93962,4838.21
2021-03-29,0.93961,0.94047,0.93703,0.93902,123867.07996
2021-03-30,0.93902,0.94389,0.93888,0.94186,143405.39003
2021-03-31,0.94185,0.94588,0.94039,0.94393,219129.63997
2021-04-01,0.94394,0.94727,0.9405,0.94216,229260.85003
2021-04-02,0.94217,0.94348,0.94052,0.94297,113557.89006
2021-04-04,0.94317,0.94329,0.94206,0.94209,12613.65999
2021-04-05,0.9421,0.94388,0.93541,0.93609,138476.15998
2021-04-06,0.93609,0.93963,0.93028,0.93087,130284.80997
2021-04-07,0.93087,0.93151,0.92683,0.92945,125626.26
2021-04-08,0.92944,0.93025,0.92323,0.92422,104166.22
2021-04-09,0.92423,0.92819,0.92369,0.92392,114369.61998
2021-04-11,0.92551,0.92595,0.92467,0.9257,4291.66
2021-04-12,0.9257,0.92686,0.92129,0.92241,119651.31997
2021-04-13,0.92244,0.92599,0.9198,0.92033,151216.66997
2021-04-14,0.92031,0.92343,0.9187,0.92278,138365.92997
2021-04-15,0.92278,0.92457,0.92066,0.922,170183.09979
2021-04-16,0.92202,0.92353,0.91795,0.92023,123973.59996
2021-04-18,0.9198,0.9209,0.91945,0.92061,3374.17
2021-04-19,0.92062,0.92153,0.91288,0.91497,134269.76996
2021-04-20,0.91497,0.91697,0.91351,0.9161,129069.53001
2021-04-21,0.91609,0.91958,0.91535,0.91677,120838.36999
2021-04-22,0.91676,0.91914,0.91437,0.91719,129963.95998
2021-04-23,0.91719,0.91735,0.91278,0.91378,105814.68
2021-04-25,0.91358,0.91402,0.91343,0.91402,4158.22
2021-04-26,0.914,0.91662,0.91219,0.91468,119224.21999
2021-04-27,0.91469,0.9172,0.91236,0.91408,115190.41
2021-04-28,0.91409,0.91818,0.90884,0.90895,157116.56
2021-04-29,0.909,0.91196,0.90802,0.90897,141666.99
2021-04-30,0.90897,0.91403,0.90804,0.91333,146834.64999
2021-05-02,0.91261,0.91305,0.91219,0.91294,3920.56
2021-05-03,0.91294,0.91479,0.90931,0.91158,139832.59998
2021-05-04,0.91158,0.91609,0.91146,0.91367,175110.88999
2021-05-05,0.91367,0.91646,0.91214,0.91316,149088.64996
2021-05-06,0.91314,0.91451,0.90705,0.90765,156906.53001
2021-05-07,0.90765,0.90938,0.90043,0.90053,181557.97997
2021-05-09,0.90147,0.90161,0.90004,0.90051,26718.13999
2021-05-10,0.90052,0.90193,0.89858,0.90055,166854.04996
2021-05-11,0.90057,0.9041,0.90015,0.9039,157476.24999
2021-05-12,0.90388,0.9094,0.903,0.90888,212559.90001
2021-05-13,0.9089,0.90934,0.90511,0.90601,243999.6497
2021-05-14,0.90604,0.90637,0.90124,0.90143,125719.56
2021-05-16,0.90167,0.90197,0.90132,0.90148,3340.43
2021-05-17,0.90148,0.90342,0.90023,0.90339,127545.11
2021-05-18,0.90338,0.90352,0.89605,0.89758,112025.87002
2021-05-19,0.89758,0.90477,0.89684,0.90408,170449.21001
2021-05-20,0.90409,0.90474,0.89685,0.89758,139444.34996
2021-05-21,0.89758,0.90007,0.89539,0.89797,128312.13001
2021-05-23,0.89829,0.89863,0.89728,0.89751,4146.35
2021-05-24,0.89752,0.90028,0.89569,0.89706,126978.34001
2021-05-25,0.89707,0.89746,0.89304,0.89567,165524.02008
2021-05-26,0.89567,0.89877,0.89419,0.89779,126973.34
2021-05-27,0.8978,0.90087,0.89609,0.89711,138624.91003
2021-05-28,0.8971,0.90298,0.8971,0.89992,132214.62
2021-05-30,0.89936,0.9002,0.89929,0.90017,13079.22994
2021-05-31,0.90016,0.90129,0.8982,0.89844,88872.79001
2021-06-01,0.89843,0.89988,0.8947,0.89712,110470.73999
2021-06-02,0.89713,0.90246,0.89671,0.89824,128503.18009
2021-06-03,0.89824,0.90519,0.89792,0.90351,102881.97006
2021-06-04,0.90352,0.90538,0.89823,0.89909,110705.22
2021-06-06,0.8996,0.89979,0.89885,0.89932,6596.75
