Indicator_Num,Indicator_Name,Entry_Params,Exit_Params,Entry_Combinations,Exit_Combinations,Total_Combinations
348,348_kalman_filter,"period, process_noise","tp_pips, sl_pips",400,156,62400
349,349_wavelet_decomposition,period,"tp_pips, sl_pips",20,156,3120
350,350_seasonal_decomposition,period,"tp_pips, sl_pips",20,156,3120
351,351_prophet_forecast,"period, threshold","tp_pips, sl_pips",400,156,62400
352,352_garch_volatility,period,"tp_pips, sl_pips",20,156,3120
353,353_var_forecast,period,"tp_pips, sl_pips",20,156,3120
354,354_state_space_model,period,"tp_pips, sl_pips",20,156,3120
355,355_granger_causality,"period, threshold","tp_pips, sl_pips",400,156,62400
356,356_cointegration_signal,period,"tp_pips, sl_pips",20,156,3120
357,357_stochastic_process,period,"tp_pips, sl_pips",20,156,3120
358,358_jump_diffusion,"period, jump_threshold","tp_pips, sl_pips",120,156,18720
359,359_mean_reversion_speed,period,"tp_pips, sl_pips",20,156,3120
360,360_hurst_exponent,period,"tp_pips, sl_pips",20,156,3120
361,361_isolation_forest,period,"tp_pips, sl_pips",20,156,3120
362,362_local_outlier_factor,"period, multiplier, threshold","tp_pips, sl_pips",2000,156,312000
363,363_one_class_svm,"period, nu","tp_pips, sl_pips",400,156,62400
364,364_elliptic_envelope,"period, contamination","tp_pips, sl_pips",400,156,62400
